gtstation_name,ellipsoidheight,ORIGIN,STATUS,longitude,latitude,state,gdc_username
SAND  H.S,530.088,,NOT SHIFTED,74.549,24.719,Rajasthan,Rajasthan Geo-spatial Directorate
GURARIA  H.S,360.588,,NOT SHIFTED,76.083,24.426,Rajasthan,Rajasthan Geo-spatial Directorate
KALYANPUR  H.S,483.046,,NOT SHIFTED,77.654,24.12,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
DHANDKUA  H.S,337.842,,NOT SHIFTED,78.72,24.794,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
BURWA  H.S,340.141,,SHIFTED AND DOUBTFULL,81.47879062,24.55447843,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
KATRA  H.S,352.621,,NOT SHIFTED,82.16,24.848,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
KOCHEA  H.S,444.569,,NOT SHIFTED,83.636,24.307,Jharkhand,Jharkhand & Bihar  Geo-spatial Directorate
LOHAWAR  H.S,488.712,,NOT SHIFTED,85.181,24.471,Bihar,Jharkhand & Bihar  Geo-spatial Directorate
DEOLI  H.S,467.857,,NOT SHIFTED,86.594,24.51,Jharkhand,Jharkhand & Bihar  Geo-spatial Directorate
SALAMA TILA  H.S,16.8,,NOT SHIFTED,92.807,24.853,Assam,Assam & Nagaland and TMMz Geo-Spatial Directorate
SAMDARI  H.S,211.548,,NOT SHIFTED,72.572,25.817,Rajasthan,Rajasthan Geo-spatial Directorate
CHICHLANA  H.S.,489.628,,SHIFTED AND DOUBTFULL,74.87897132,25.51753002,Rajasthan,Rajasthan Geo-spatial Directorate
KISHANGANJ  T.S,185.243,,NOT SHIFTED,76.27,25.385,Rajasthan,Rajasthan Geo-spatial Directorate
SHERGARH  H.S,394.781,,NOT SHIFTED,77.92,25.59,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
PAHARA  H.S,130.565,,NOT SHIFTED,79.673,25.686,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
PAVIA  H.S,84.96,,SHIFTED AND DOUBTFULL,80.73515577,25.45528119,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
BARHANI  T.S,20.525,,NOT SHIFTED,83.413,25.298,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
BIHTA  S.,-7.438,,NOT SHIFTED,84.871,25.574,Bihar,Jharkhand & Bihar  Geo-spatial Directorate
BEHAR  H.S,53.869,,NOT SHIFTED,85.506,25.207,Bihar,Jharkhand & Bihar  Geo-spatial Directorate
KYLAS  H.S,95.36,,NOT SHIFTED,90.641,25.213,Meghalaya,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
DAROI  H.S,336.685,,NOT SHIFTED,71.319,26.406,Rajasthan,Rajasthan Geo-spatial Directorate
KETU  H.S,322.237,,NOT SHIFTED,72.515,26.512,Rajasthan,Rajasthan Geo-spatial Directorate
GANDASPUR  T.S,86.733,,NOT SHIFTED,79.597,26.475,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
UTIAMAU  T.S,62.925,,NOT SHIFTED,81.203,26.999,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
JHUNAPUR  S.,-1.624,,NOT SHIFTED,84.388,26.238,Bihar,Jharkhand & Bihar  Geo-spatial Directorate
MASAHA  T.S,0.33,,NOT SHIFTED,85.133,26.618,Bihar,Jharkhand & Bihar  Geo-spatial Directorate
BHELA  T.S,-8.391,,NOT SHIFTED,86.471,26.317,Bihar,Jharkhand & Bihar  Geo-spatial Directorate
MEKHLIGANG  H.S,15.83,,NOT SHIFTED,88.902,26.352,West Bengal,West Bengal & Sikkim Geo-spatial Directorate
BHAIRABER  CHURA  H.S,448.8,,SHIFTED AND DOUBTFULL,90.50608547,26.28395954,Assam,Assam & Nagaland and TMMz Geo-Spatial Directorate
TATALIA  H.S,227.39,,NOT SHIFTED,92.268,26.197,Assam,Assam & Nagaland and TMMz Geo-Spatial Directorate
MERDO PARBAT  H.S,133.2,,NOT SHIFTED,93.154,26.092,Assam,Assam & Nagaland and TMMz Geo-Spatial Directorate
NAGUTOTO  H.S,1927.51,,NOT SHIFTED,94.521,26.039,Nagaland,Assam & Nagaland and TMMz Geo-Spatial Directorate
LONCHARI  S.,157.624,,NOT SHIFTED,71.841,27.069,Rajasthan,Rajasthan Geo-spatial Directorate
GUGA  H.S.,351.554,,NOT SHIFTED,74.591,27.68,Rajasthan,Rajasthan Geo-spatial Directorate
BILALI  T.S,727.254,,NOT SHIFTED,76.213,27.535,Rajasthan,Rajasthan Geo-spatial Directorate
MADHONI  H.S,162.1918,,NOT SHIFTED,77.427,27.231,Rajasthan,Rajasthan Geo-spatial Directorate
SALIMPUR  T.S,132.346,,NOT SHIFTED,78.512,27.777,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
SAIDHARI  T.S,88.407,,NOT SHIFTED,80.778,27.969,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
ATKONAWA  T.S,75.859,,NOT SHIFTED,81.497,27.768,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
LOHAPANIA  T.S,53.497,,NOT SHIFTED,82.248,27.556,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
SAUNBRASA  T.S,28.581,,NOT SHIFTED,83.353,27.191,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
TAWANG  H.S,3145.1,,NOT SHIFTED,91.867,27.604,Arunachal Pradesh,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
BOMDILA  H.S,2862.34,,NOT SHIFTED,92.413,27.277,Arunachal Pradesh,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
ITANAGAR  H.S,441.51,,NOT SHIFTED,93.632,27.092,Arunachal Pradesh,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
LORIA  H.S,1709.07,,SHIFTED AND DOUBTFULL,93.40441066,27.76500607,Arunachal Pradesh,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
KOTTAM  H.S,1359.6,,NOT SHIFTED,95.574,27.103,Arunachal Pradesh,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
JODASHAR H.S,151.081,,NOT SHIFTED,72.697,28.292,Rajasthan,Rajasthan Geo-spatial Directorate
KHALRA H.S,393.856,,NOT SHIFTED,76.075,28.061,Haryana,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
DEHRI  H.S,262.24,,NOT SHIFTED,77.204,28.411,Delhi,Delhi Geo-spatial and International Boundary Directorate
RAGGI  H.S,1166.88,,NOT SHIFTED,94.668,28.182,Arunachal Pradesh,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
TUTING  H.S,1820.9,,NOT SHIFTED,94.94,28.998,Arunachal Pradesh,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
MIPI  H.S,2113.97,,NOT SHIFTED,95.792,28.982,Arunachal Pradesh,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
ROING  H.S,356.61,,NOT SHIFTED,95.84,28.146,Arunachal Pradesh,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
WALONG  H.S,1242.43,,NOT SHIFTED,97.017,28.133,Arunachal Pradesh,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
TILOKA T.S,163.627,,NOT SHIFTED,75.024,29.817,Haryana,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
GHUNGTI H.S,2065.0322,,NOT SHIFTED,78.921,29.76,Uttarakhand,Uttarakhand  Geo-spatial Directorate
HALDAUR T.S,191.822,,NOT SHIFTED,78.267,29.278,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
SARAKARA T.S,181.2776,NHP NMCG,NOT SHIFTED,78.538,29.263,Uttar Pradesh,Uttar Pradesh Geo-spatial Directorate
SANCHOLIA H.S,2544.8481,,NOT SHIFTED,79.317,29.506,Uttarakhand,Uttarakhand  Geo-spatial Directorate
JAGESHWAR H.S,2303.5414,,NOT SHIFTED,79.868,29.651,Uttarakhand,Uttarakhand  Geo-spatial Directorate
KHAMLEKH H.S,2049.0335,,NOT SHIFTED,80.056,29.838,Uttarakhand,Uttarakhand  Geo-spatial Directorate
MUKAND  SINGH WALAH.S,162.795,,NOT SHIFTED,74.55,30.471,Punjab,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
KAILA-VANDAR T.S,166.384,,NOT SHIFTED,75.002,30.063,Punjab,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
MIRZAPUR H.S,435.0858,,NOT SHIFTED,76.718,30.891,Punjab,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
HINDUPUR S.,227.2483,,NOT SHIFTED,76.513,30.626,Punjab,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
MOHARA 'S',219.9061,,NOT SHIFTED,76.846,30.27,Haryana,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
NADASAHIB H.S,342.138,,NOT SHIFTED,76.891,30.689,Haryana,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
CHAUPAL H.S,2478.2118,,NOT SHIFTED,77.576,30.951,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
DADU  H.S,1490.8529,,NOT SHIFTED,77.231,30.649,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
E.END  S.,555.842,,NOT SHIFTED,77.974,30.285,Uttarakhand,Uttarakhand  Geo-spatial Directorate
RAMPUR H.S,617.6329,,NOT SHIFTED,77.355,30.459,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
DEHRADUN W.END 'S',500.096,,NOT SHIFTED,77.86,30.329,Uttarakhand,Uttarakhand  Geo-spatial Directorate
BAJAMARA H.S,2914.8445,,NOT SHIFTED,77.899,30.765,Uttarakhand,Uttarakhand  Geo-spatial Directorate
BAHAK H.S,2926.6185,,SHIFTED AND DOUBTFULL,78.22563789,30.75122657,Uttarakhand,Uttarakhand  Geo-spatial Directorate
BANOG H.S,2225.396,,SHIFTED,78.01407283,30.47668745,Uttarakhand,Uttarakhand  Geo-spatial Directorate
